地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选,Cluster
房山-长阳-加州水郡三期,东北,整租,2室1厅1卫,15,86.52,3255,贝壳优选,"新上,精装,押一付一,随时看房,首次出租",0,1
丰台-七里庄-中建一局北院,南北,整租,2室1厅1卫,6,63.2,4700,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
朝阳-东坝-金隅景和园,南,整租,2室1厅1卫,21,87.0,5200,链家,"官方核验,新上,精装,集中供暖,随时看房",0,1
海淀-万柳-蜂鸟家园,北,整租,1室1厅2卫,14,45.0,6825,贝壳优选,"新上,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0,0
朝阳-北苑-北苑家园茉藜园,西南,整租,2室1厅2卫,25,112.43,6300,链家,"官方核验,业主自荐,新上,月租,近地铁,精装,集中供暖,双卫生间",0,1
海淀-知春路-罗庄西里,南,合租,4居室,18,20.0,3500,汇格嘉业,"公寓,月租,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",1,1
丰台-七里庄-望园东里,南北,整租,3室1厅1卫,6,80.83,6200,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房,首次出租",0,0
朝阳-安贞-安贞西里,北,合租,2居室,6,20.0,3199,国良乐居,"公寓,独立卫生间,近地铁,独立阳台,集中供暖,随时看房",1,0
海淀-西二旗-领秀新硅谷1号院,西,合租,3居室,3,10.0,1900,小青公寓,"公寓,月租,精装,集中供暖",1,0
丰台-青塔-蔚园,南北,整租,3室1厅1卫,16,86.68,6500,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0,1
朝阳-国展-豪成大厦,西,整租,3室1厅1卫,25,118.72,11000,链家,"官方核验,新上,近地铁,集中供暖",0,1
朝阳-双桥-双桥温泉东里小区,南,整租,2室2厅1卫,7,96.0,4200,链家,"官方核验,精装",0,0
亦庄开发区-亦庄-小康东里,南北,整租,1室1厅1卫,6,60.0,3900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
朝阳-东大桥-世界城,南,整租,1室0厅1卫,29,57.0,10000,链家,"官方核验,新上,精装,集中供暖",0,1
亦庄开发区-通州其它-首创远洋禧瑞天著西区,南,整租,2室1厅1卫,21,89.0,6000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
顺义-顺义其它-下坡屯家园三区,南北,整租,2室1厅1卫,11,82.0,2600,链家,"官方核验,精装,随时看房",0,0
怀柔-怀柔-湖光小区,南北,整租,2室1厅1卫,6,60.01,1500,链家,"官方核验,精装,集中供暖",0,0
石景山-苹果园-苹果园小区三区,东南,整租,2室1厅1卫,16,75.0,5500,链家,"官方核验,近地铁,精装,集中供暖",0,1
朝阳-望京-夏都盈座,南,合租,4居室,15,18.0,2399,北京诚佳公寓,"租住保障,公寓,月租,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0,0
朝阳-东大桥-旺座中心公寓,西北,整租,2室1厅2卫,30,157.0,16500,链家,"官方核验,精装,集中供暖,双卫生间",0,1
丰台-菜户营-万泉寺南里,南北,整租,1室1厅1卫,4,44.5,4300,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
丰台-赵公口-跃城,南北,整租,2室2厅1卫,20,112.53,6900,链家,"官方核验,精装,随时看房",0,1
房山-阎村-京西悦府,南北,整租,3室1厅1卫,11,96.21,4200,链家,"官方核验,近地铁,集中供暖,随时看房",0,0
朝阳-亮马桥-三源里街,东南西北,整租,3室1厅1卫,6,78.0,8500,链家,"官方核验,新上,近地铁,精装,集中供暖",0,0
大兴-旧宫-清和园,南北,整租,2室1厅1卫,6,71.57,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
昌平-北七家-王府公寓,南北,整租,2室1厅1卫,5,103.03,4000,链家,"官方核验,精装,集中供暖,随时看房",0,0
房山-窦店-山水汇豪苑B区,南北,整租,3室2厅1卫,15,128.55,3300,链家,"官方核验,精装",0,1
朝阳-潘家园-方丹苑,西北,整租,2室1厅1卫,21,95.72,6500,链家,"官方核验,月租,精装,集中供暖",0,1
房山-长阳-加州水郡四期,西北,整租,2室1厅1卫,15,92.68,3239,链家,"官方核验,精装",0,1
丰台-蒲黄榆-万事吉公寓,南北,整租,2室1厅1卫,15,112.62,6500,链家,"官方核验,集中供暖,随时看房",0,1
房山-长阳-首开熙悦山澜庭,东南北,整租,3室1厅1卫,21,99.61,5100,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
朝阳-望京-朝庭,南,合租,3居室,27,18.0,3888,住呗公寓北京,"公寓,独立卫生间,月租,精装,随时看房",0,1
通州-九棵树(家乐福)-阿尔法社区二期,南,整租,1室1厅1卫,6,62.27,3100,链家,"官方核验,精装,随时看房",0,0
顺义-顺义城-西辛南区,南北,整租,2室1厅1卫,6,85.0,3200,链家,"官方核验,月租,集中供暖,随时看房",0,0
通州-果园-葛布店东里,南北,整租,2室1厅1卫,6,61.73,3200,链家,"官方核验,精装,集中供暖,随时看房",0,0
通州-武夷花园-武夷花园月季园,东西北,整租,2室1厅1卫,18,98.74,3600,链家,"官方核验,集中供暖,随时看房",0,1
亦庄开发区-亦庄河西区-枫丹壹号二期,南,整租,3室1厅1卫,25,95.0,7000,链家,"官方核验,精装,集中供暖",0,1
昌平-回龙观-慧华苑,南北,整租,3室1厅1卫,6,95.0,6500,链家,"官方核验,业主自荐,近地铁,集中供暖",0,0
通州-武夷花园-京贸国际城,南北,整租,2室1厅1卫,32,90.32,4400,链家,"官方核验,集中供暖,随时看房",0,1
朝阳-双桥-金隅可乐,西南,整租,3房间1卫,19,57.24,6200,链家,"官方核验,近地铁,精装,集中供暖",0,1
朝阳-四惠-八里庄东里北巷,南北,整租,2室1厅1卫,5,57.15,5800,链家,"官方核验,近地铁,集中供暖",0,0
朝阳-中央别墅区-康营家园三十二区,南,合租,4居室,10,20.0,2500,宝铂公寓,"新上,公寓,独立卫生间,月租,精装,押一付一",0,0
丰台-蒲黄榆-万事吉公寓,南北,整租,2室1厅1卫,15,112.62,6500,链家,"官方核验,集中供暖,随时看房",0,1
房山-长阳-首开熙悦山澜庭,东南北,整租,3室1厅1卫,21,99.61,5100,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
通州-九棵树(家乐福)-阿尔法社区二期,南,整租,1室1厅1卫,6,62.27,3100,链家,"官方核验,精装,随时看房",0,0
顺义-顺义城-西辛南区,南北,整租,2室1厅1卫,6,85.0,3200,链家,"官方核验,月租,集中供暖,随时看房",0,0
通州-果园-葛布店东里,南北,整租,2室1厅1卫,6,61.73,3200,链家,"官方核验,精装,集中供暖,随时看房",0,0
亦庄开发区-亦庄河西区-枫丹壹号二期,南,整租,3室1厅1卫,25,95.0,7000,链家,"官方核验,精装,集中供暖",0,1
通州-武夷花园-武夷花园月季园,东西北,整租,2室1厅1卫,18,98.74,3600,链家,"官方核验,集中供暖,随时看房",0,1
昌平-回龙观-慧华苑,南北,整租,3室1厅1卫,6,95.0,6500,链家,"官方核验,业主自荐,近地铁,集中供暖",0,0
朝阳-马甸-裕民东里,南,整租,2室1厅1卫,18,58.0,7500,链家,"近地铁,精装,集中供暖,随时看房",0,1
朝阳-朝青-金隅凤麟洲,南北,整租,2室2厅2卫,10,120.0,11000,链家,"精装,集中供暖,双卫生间,随时看房",0,0
海淀-西二旗-领秀新硅谷1号院,南北,整租,6室4厅4卫,3,299.0,41000,链家,"近地铁,精装",0,2
朝阳-华威桥-双龙南里,东北,整租,2室1厅1卫,6,55.7,4800,链家,"近地铁,集中供暖",0,0
门头沟-石门营-石门营新区七区东苑,南北,整租,3室1厅1卫,6,83.0,3900,链家,"近地铁,集中供暖,随时看房",0,0
朝阳-四惠-东恒时代二期,东北,整租,1室1厅1卫,16,58.47,7800,链家,"近地铁,精装,集中供暖,随时看房",0,1
丰台-北京南站-开阳里三区,东,整租,2室1厅1卫,6,80.21,7500,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0,0
朝阳-常营-北京新天地四期,西南,整租,1室1厅1卫,26,65.96,5750,链家,"精装,集中供暖,随时看房",0,1
丰台-青塔-国誉万和城,南北,整租,3室1厅2卫,25,160.0,19000,链家,"官方核验,新上,近地铁,精装,集中供暖,双卫生间",0,1
顺义-顺义其它-炫立方,东,整租,4房间1卫,10,57.2,2880,链家,"官方核验,业主自荐,集中供暖",0,0
门头沟-门头沟其它-龙门二区,南北,整租,2室1厅1卫,7,80.0,3300,链家,"官方核验,新上,集中供暖",0,0
朝阳-定福庄-泰福苑D1区,南,整租,1室1厅1卫,27,60.0,4600,链家,"官方核验,业主自荐,近地铁",0,1
海淀-万柳-新起点嘉园,东南,整租,3室2厅2卫,19,163.0,18000,链家,"官方核验,业主自荐,近地铁,精装,集中供暖,双卫生间",0,1
丰台-马家堡-东亚三环,东南,整租,3房间1卫,21,81.71,7500,链家,"官方核验,业主自荐,新上,近地铁,集中供暖",0,1
海淀-五棵松-金沟河2号院,东西,整租,2室1厅1卫,6,55.3,6000,链家,"官方核验,新上,近地铁,精装,集中供暖",0,0
海淀-皂君庙-青年公寓,南,整租,1室1厅1卫,17,42.17,6200,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
西城-小西天-西直门北滨河路2号院,东西,整租,2室1厅1卫,9,92.0,10500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,0
西城-六铺炕-黄寺大街24号院,南北,整租,2室1厅1卫,6,70.6,8500,链家,"官方核验,近地铁,集中供暖",0,0
通州-梨园-桃花岛,南北,整租,1室1厅1卫,6,68.12,3200,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
顺义-中央别墅区-京奥港枫泉花园,南,整租,1室1厅1卫,16,60.0,4300,链家,"官方核验,新上,近地铁,精装,集中供暖",0,1
